"id","parent_tag_id","name"
2326,,"Main Ingredient"
2367,2326,"Nuts/Seeds"
2336,2326,"Other Grains"
2362,2326,"Fish"
2334,2326,"Fruit"
2365,2326,"Beans/Peas"
2363,2326,"Starchy Vegetables"
2339,2326,"Rice"
2364,2326,"Other Seafood"
2361,2326,"Non-starchy Vegetables"
2369,2326,"Bread/Pizza"
2328,2326,"Beef"
2340,2326,"Turkey"
2330,2326,"Chicken"
2337,2326,"Pasta"
2332,2326,"Eggs"
2335,2326,"Meat Alternative"
2366,2326,"Milk/Yogurt"
2329,2326,"Cheese"
2338,2326,"Pork"
2368,2326,"Other Meat"
